lr-Adam,lr-Adam-1,step,aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,aeloss_epoch,discloss_epoch,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,valid_mse_epoch,valid_mae_epoch
,,18311,40.467864990234375,647.48583984375,0.0,4134.25537109375,647.481689453125,0.03951914608478546,3460.256591796875,0.0,1.0755819082260132,0.0,0.0,-1.0950957536697388,-1.0755819082260132,1,,,,,,,,,,,,,,,
6.595773874862789e-07,6.595773874862789e-07,18638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18638,39.89180374145508,638.2688598632812,0.0,4236.32275390625,638.2646484375,0.03895658254623413,5000.0,0.0,1.081971287727356,0.0,0.0,-1.082371473312378,-1.081971287727356,1,,,,,,,,,,,,,,,
6.624588364434687e-07,6.624588364434687e-07,18965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18965,32.01496505737305,512.2394409179688,0.0,4132.0009765625,512.2352905273438,0.03126436099410057,2037.122314453125,0.0,1.0163668394088745,0.0,0.0,-1.031172513961792,-1.0163668394088745,1,,,,,,,,,,,,,,,
6.652030735455545e-07,6.652030735455545e-07,19292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19292,33.026790618896484,528.4286499023438,0.0,4230.30126953125,528.4244384765625,0.032252468168735504,5000.0,0.0,1.0812525749206543,0.0,0.0,-1.0866665840148926,-1.0812525749206543,1,,,,,,,,,,,,,,,
6.680845225027443e-07,6.680845225027443e-07,19619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19619,33.232460021972656,531.7193603515625,0.0,4222.302734375,531.7151489257812,0.03245331719517708,2365.037841796875,0.0,1.0569345951080322,0.0,0.0,-1.0589408874511719,-1.0569345951080322,1,,,,,,,,,,,,,,,
6.708287596048299e-07,6.708287596048299e-07,19946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19946,36.155460357666016,578.4873657226562,0.0,4212.302734375,578.483154296875,0.035307809710502625,3728.916259765625,0.0,1.056077003479004,0.0,0.0,-1.0719873905181885,-1.056077003479004,1,,,,,,,,,,,,,,,
6.737102085620198e-07,6.737102085620198e-07,20273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20273,29.767152786254883,476.2744445800781,0.0,4373.2138671875,476.27008056640625,0.029069218784570694,5000.0,0.0,1.0590978860855103,0.0,0.0,-1.0733652114868164,-1.0590978860855103,1,,,,,,,,,,,,,,,
6.764544456641055e-07,6.764544456641055e-07,20600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20600,36.272804260253906,580.3648681640625,0.0,4415.2900390625,580.3604736328125,0.035422392189502716,4690.70849609375,0.0,1.055512547492981,0.0,0.0,-1.0675188302993774,-1.055512547492981,1,,,,,,,,,,,,,,,
6.793358946212954e-07,6.793358946212954e-07,20927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20927,25.360647201538086,405.7703552246094,0.0,4459.73828125,405.7658996582031,0.02476598508656025,3467.29541015625,0.0,1.019168496131897,0.0,0.0,-1.0294266939163208,-1.019168496131897,1,,,,,,,,,,,,,,,
,,20989,,,,,,,,,,,,,,1,33.525997161865234,0.0,,,,,,,,,,,,,
6.819429198682767e-07,6.819429198682767e-07,21254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21254,33.4277229309082,534.8435668945312,0.0,4429.38720703125,534.839111328125,0.032643988728523254,5000.0,0.0,1.04746413230896,0.0,0.0,-1.054930567741394,-1.04746413230896,2,,,,,,,,,,,,,,,
6.846871569703623e-07,6.846871569703623e-07,21581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
