lr-AdamW,step,train_loss_step,train/mae_step,train/avg_gt_step,train/relative_mae_step,epoch,train_loss_epoch,train/mae_epoch,train/avg_gt_epoch,train/relative_mae_epoch,val_loss_step,val/mae_step,val/avg_gt_step,val/relative_mae_step,val_loss_epoch,val/mae_epoch,val/avg_gt_epoch,val/relative_mae_epoch
,98,,,,,,,,,,0.0018535539275035262,0.03472808748483658,0.06541398167610168,0.5308969616889954,,,,
,99,,,,,,,,,,0.00574096804484725,0.0633179247379303,0.1331549882888794,0.47552046179771423,,,,
,100,,,,,,,,,,0.0027344687841832638,0.03985242173075676,0.08672043681144714,0.4595504701137543,,,,
,101,,,,,,,,,,0.0010758102871477604,0.02905055694282055,0.053386859595775604,0.5441517233848572,,,,
,1019,,,,,29,,,,,,,,,0.002728011691942811,0.040675900876522064,0.07917174696922302,0.5346742868423462
,1019,,,,,29,0.005073672626167536,0.05414162948727608,0.09669742733240128,0.5697616338729858,,,,,,,,
0.0003782214156079855,1022,,,,,,,,,,,,,,,,,
0.0003782214156079855,1022,,,,,,,,,,,,,,,,,
0.0003782214156079855,1022,,,,,,,,,,,,,,,,,
0.0003782214156079855,1022,,,,,,,,,,,,,,,,,
,1022,0.005634407512843609,0.07006445527076721,0.1070355474948883,0.6545904874801636,30,,,,,,,,,,,,
,1053,,,,,30,0.002185493241995573,0.032857660204172134,0.09669747948646545,0.34261205792427063,,,,,,,,
0.00038720508166969147,1055,,,,,,,,,,,,,,,,,
0.00038720508166969147,1055,,,,,,,,,,,,,,,,,
0.00038720508166969147,1055,,,,,,,,,,,,,,,,,
0.00038720508166969147,1055,,,,,,,,,,,,,,,,,
,1055,0.0010414061835035682,0.019885335117578506,0.06958398222923279,0.2857745587825775,31,,,,,,,,,,,,
,1087,,,,,31,0.0008983402512967587,0.01905163936316967,0.09669741243124008,0.20044733583927155,,,,,,,,
0.0003961887477313975,1088,,,,,,,,,,,,,,,,,
0.0003961887477313975,1088,,,,,,,,,,,,,,,,,
0.0003961887477313975,1088,,,,,,,,,,,,,,,,,
0.0003961887477313975,1088,,,,,,,,,,,,,,,,,
